tconst	primaryTitle	startYear	endYear	genres	averageRating	numVotes
tt0040053	The Ed Sullivan Show	1948.0	1971.0	Music,Talk-Show	7.9	1684.0
tt0041038	The Lone Ranger	1949.0	1957.0	Western	7.7	3153.0
tt0042093	The Cisco Kid	1950.0	1956.0	Drama,Western	7.1	688.0
tt0042094	The Colgate Comedy Hour	1950.0	1955.0	Comedy,Romance	7.7	612.0
tt0042111	The George Burns and Gracie Allen Show	1950.0	1958.0	Comedy	8.6	1632.0
tt0042114	The Honeymooners	1955.0	1956.0	Comedy,Family	8.6	6657.0
tt0042116	The Jack Benny Program	1950.0	1965.0	Comedy	8.5	1769.0
tt0042168	What's My Line?	1950.0	1967.0	Family,Game-Show	8.5	1873.0
tt0042171	You Bet Your Life	1950.0	1961.0	Comedy,Family,Game-Show	8.5	818.0
tt0043175	The Amos 'n Andy Show	1951.0	1953.0	Comedy	8.6	896.0
tt0043194	Dragnet	1951.0	1959.0	Crime,Drama,Mystery	7.5	2540.0
tt0043208	I Love Lucy	1951.0	1957.0	Comedy	8.5	30343.0
tt0043224	The Red Skelton Hour	1951.0	1971.0	Comedy	8.1	1482.0
tt0043225	The Roy Rogers Show	1951.0	2014.0	Family,Western	7.1	774.0
tt0043232	Sky King	1951.0	1962.0	Adventure,Drama,Family	7.7	609.0
tt0043238	Tales of Tomorrow	1951.0	1953.0	Drama,Horror,Mystery	7.0	508.0
tt0044229	The Abbott and Costello Show	1952.0	1957.0	Comedy,Family,Mystery	8.1	1456.0
tt0044230	The Adventures of Ozzie and Harriet	1952.0	1966.0	Comedy,Drama,Family	7.4	1765.0
tt0044231	Adventures of Superman	1952.0	1958.0	Action,Adventure,Crime	7.7	4844.0
tt0044259	Death Valley Days	1952.0	1970.0	Western	7.5	1212.0
tt0044265	Guiding Light	1952.0	2009.0	Drama,Romance	6.6	2014.0
tt0044270	I've Got a Secret	1952.0	1967.0	Family,Game-Show	7.9	589.0
tt0044272	The Jackie Gleason Show	1952.0	1973.0	Comedy	8.4	545.0
tt0044287	Our Miss Brooks	1952.0	1956.0	Comedy,Family	8.0	771.0
tt0044298	Today	1952.0		News,Talk-Show	4.6	2618.0
tt0045410	The Danny Thomas Show	1953.0	1965.0	Comedy,Family	7.1	1377.0
tt0045447	Topper	1953.0	1955.0	Comedy,Fantasy	8.2	614.0
tt0046576	The Adventures of Rin Tin Tin	1954.0	1959.0	Family,Western	7.0	921.0
tt0046593	The Magical World of Disney	1954.0	1997.0	Adventure,Drama,Family	8.3	2488.0
tt0046600	Father Knows Best	1954.0	1960.0	Comedy,Family	7.4	2857.0
tt0046617	Lassie	1954.0	1974.0	Adventure,Drama,Family	6.6	4168.0
tt0046642	Sherlock Holmes	1954.0	1955.0	Crime,Drama,Mystery	7.5	1214.0
tt0046658	Victory at Sea	1952.0	1953.0	Action,Documentary,War	8.5	738.0
tt0047706	The Adventures of Robin Hood	1955.0	1960.0	Action,Adventure,Family	7.6	956.0
tt0047708	Alfred Hitchcock Presents	1955.0	1962.0	Crime,Drama,Mystery	8.5	20260.0
tt0047718	Captain Kangaroo	1955.0	1992.0	Family	8.0	1667.0
tt0047720	Cheyenne	1955.0	1963.0	Western	8.0	2215.0
tt0047734	Fury	1955.0	1960.0	Drama,Family,Western	7.4	625.0
tt0047736	Gunsmoke	1955.0	1975.0	Western	8.1	9721.0
tt0047739	Highway Patrol	1955.0	1959.0	Action,Crime,Drama	7.7	1689.0
