tconst	averageRating	numVotes
tt0040053	7.9	1684
tt0041038	7.7	3153
tt0042093	7.1	688
tt0042094	7.7	612
tt0042111	8.6	1632
tt0042114	8.6	6657
tt0042116	8.5	1769
tt0042168	8.5	1873
tt0042171	8.5	818
tt0043175	8.6	896
tt0043194	7.5	2540
tt0043208	8.5	30343
tt0043224	8.1	1482
tt0043225	7.1	774
tt0043232	7.7	609
tt0043238	7.0	508
tt0044229	8.1	1456
tt0044230	7.4	1765
tt0044231	7.7	4844
tt0044259	7.5	1212
tt0044265	6.6	2014
tt0044270	7.9	589
tt0044272	8.4	545
tt0044287	8.0	771
tt0044298	4.6	2618
tt0045410	7.1	1377
tt0045447	8.2	614
tt0046576	7.0	921
tt0046593	8.3	2488
tt0046600	7.4	2857
tt0046617	6.6	4168
tt0046642	7.5	1214
tt0046658	8.5	738
tt0047706	7.6	956
tt0047708	8.5	20260
tt0047718	8.0	1667
tt0047720	8.0	2215
tt0047734	7.4	625
tt0047736	8.1	9721
tt0047739	7.7	1689
tt0047749	7.0	556
tt0047750	7.6	1234
tt0047752	7.7	512
tt0047757	7.6	917
tt0047758	7.8	644
tt0047763	8.4	1846
tt0047766	7.2	520
tt0048845	6.3	2437
tt0048860	7.8	508
tt0048907	7.7	555
tt0048916	7.5	647
tt0049996	7.2	624
tt0050022	7.0	1671
tt0050025	8.4	3681
tt0050032	7.6	10170
tt0050033	8.3	1364
tt0050037	8.0	3989
tt0050051	8.3	12940
tt0050053	7.6	1414
tt0050064	8.1	565
tt0050066	7.9	1458
tt0050069	7.9	625
tt0050073	7.5	4097
tt0050079	8.2	4768
tt0051247	7.7	1772
tt0051257	6.5	668
tt0051267	7.4	2063
tt0051283	6.6	4128
tt0051290	8.1	1096
tt0051297	8.2	1532
tt0051301	8.0	1837
tt0051305	8.0	1317
tt0051308	8.3	5625
tt0051311	7.7	1526
tt0051327	8.0	3061
tt0051329	7.8	520
tt0052442	7.8	2065
tt0052445	7.3	1336
tt0052451	7.3	12073
tt0052461	7.0	2812
tt0052472	7.6	759
tt0052481	7.7	1690
tt0052490	7.7	2219
tt0052504	7.9	5003
tt0052505	7.8	729
tt0052507	7.8	4987
tt0052520	9.0	102761
tt0052522	8.0	3305
tt0053479	8.4	18387
tt0053488	8.6	37295
tt0053489	6.9	515
tt0053494	5.6	6428
tt0053496	7.9	1524
tt0053502	7.5	43552
tt0053522	7.2	705
tt0053525	7.1	4913
tt0053534	7.7	2130
tt0053546	8.2	1787
tt0054518	8.3	9529
tt0054519	7.1	714
tt0054528	7.7	2041
tt0054531	8.0	544
tt0054533	8.4	12738
tt0054535	7.0	1092
tt0054545	7.2	2301
tt0054557	6.9	5014
tt0054560	7.4	546
tt0054572	7.1	8506
tt0055657	8.5	5646
tt0055662	7.3	11969
tt0055666	8.4	3440
tt0055667	7.5	553
tt0055673	7.2	796
tt0055683	7.0	25685
tt0055686	7.2	3436
tt0055688	7.4	607
tt0055689	7.4	3524
tt0055691	6.6	630
tt0055701	7.5	6676
tt0055708	8.5	4511
tt0055710	7.6	3472
tt0056739	7.4	1138
tt0056745	7.3	1087
tt0056751	8.4	40953
tt0056757	8.1	5070
tt0056758	6.6	6029
tt0056770	6.9	527
tt0056775	7.2	3262
tt0056777	8.2	10009
tt0056778	7.2	1670
tt0056780	7.0	3977
tt0057729	8.0	23408
tt0057730	7.9	5768
tt0057731	7.0	1261
tt0057733	7.6	26166
tt0057742	7.3	2626
tt0057748	6.3	3148
tt0057751	7.4	18091
tt0057752	7.0	4695
tt0057753	8.9	794
tt0057758	7.6	696
tt0057765	7.7	6771
tt0057773	7.8	18137
tt0057779	7.3	773
tt0057785	7.8	3618
tt0057786	7.3	1564
tt0057790	7.9	5472
tt0057793	8.1	1611
tt0057796	7.1	1926
tt0057798	7.2	4536
tt0058789	6.4	2546
tt0058790	7.0	633
tt0058791	7.6	3892
tt0058792	7.4	986
tt0058796	5.3	7932
tt0058797	8.1	1485
tt0058800	7.4	3555
tt0058801	7.4	1569
